etab|x|y|annee|commune|secteur|acad|dep|nom_norme|ep|effectif_1er_cycle|ips_total|note_ecrit_dnb|ens_inf_35_ans
0010002X|882408.3|6543019.6|2014|01004|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|836|106.1|10.1|47.5
0010002X|882408.3|6543019.6|2015|01004|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|870|122.6|10.2|26.7
0010002X|882408.3|6543019.6|2016|01004|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|907|84.9|10|23.6
0010002X|882408.3|6543019.6|2017|01004|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|954|76.5|10.2|39.3
0010005A|849722.4|6581538.8|2014|01025|public|Lyon|01|COLLEGE ROGER POULNARD|Hors EP|596|113.8|14|41.9
0010005A|849722.4|6581538.8|2015|01025|public|Lyon|01|COLLEGE ROGER POULNARD|Hors EP|567|91|9.8|15.8
0010005A|849722.4|6581538.8|2016|01025|public|Lyon|01|COLLEGE ROGER POULNARD|Hors EP|560|117.2|10|14.9
0010005A|849722.4|6581538.8|2017|01025|public|Lyon|01|COLLEGE ROGER POULNARD|Hors EP|576|102.1|9.2|33.5
0010008D|917516.4|6561130|2014|01033|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|692|128.8|10.9|27.1
0010008D|917516.4|6561130|2015|01033|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|715|121.2|11.3|57.3
0010008D|917516.4|6561130|2016|01033|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|712|111.1|10.4|32.5
0010008D|917516.4|6561130|2017|01033|public|Lyon|01|COLLEGE SAINT EXUPERY|Hors EP|735|117.7|13.8|2.3
0010018P|872844.5|6570450.3|2014|01053|public|Lyon|01|COLLEGE DU REVERMONT|Hors EP|488|99.9|11.2|32.5
0010018P|872844.5|6570450.3|2015|01053|public|Lyon|01|COLLEGE DU REVERMONT|Hors EP|498|90.5|11.9|31.2
0010018P|872844.5|6570450.3|2016|01053|public|Lyon|01|COLLEGE DU REVERMONT|Hors EP|494|102.9|11.8|16.7
0010018P|872844.5|6570450.3|2017|01053|public|Lyon|01|COLLEGE DU REVERMONT|Hors EP|503|117.7|9.7|37.6
0010022U|916410.7|6531396.5|2014|01138|public|Lyon|01|COLLEGE HENRY DUNANT|Hors EP|426|121.1|10.3|32.1
0010022U|916410.7|6531396.5|2015|01138|public|Lyon|01|COLLEGE HENRY DUNANT|Hors EP|419|92.3|12.9|17.6
0010022U|916410.7|6531396.5|2016|01138|public|Lyon|01|COLLEGE HENRY DUNANT|Hors EP|418|109|11.1|16.8
0010022U|916410.7|6531396.5|2017|01138|public|Lyon|01|COLLEGE HENRY DUNANT|Hors EP|400|105.6|10.5|28.8
0010024W|935631.1|6586359.8|2014|01173|public|Lyon|01|COLLEGE GEORGES CHARPAK|Hors EP|515|77.3|10.1|30.6
0010024W|935631.1|6586359.8|2015|01173|public|Lyon|01|COLLEGE GEORGES CHARPAK|Hors EP|532|118.8|9.1|20.8
