IRIS|LIBIRIS|COM|LIBCOM|DISP_MED14|DISP_D114|DISP_D914
010040101|Les Perouses-Triangle d'Activite|01004|Ambérieu-en-Bugey|18213,3|9701,5|29940,0
010040102|Longeray-Gare|01004|Ambérieu-en-Bugey|16777,8|9577,9|28590,0
010040201|Centre-St Germain-Vareilles|01004|Ambérieu-en-Bugey|19140,7|10518,0|31531,3
010040202|Tiret-Les Allymes|01004|Ambérieu-en-Bugey|23382,2|13522,0|38243,0
010330101|Coupy-Vanchy|01033|Bellegarde-sur-Valserine|19947,4|9425,2|44688,0
010330102|Centre Ville|01033|Bellegarde-sur-Valserine|18644,6|9583,4|37189,0
010330201|Arc Vouvray-Gare-Chatillon|01033|Bellegarde-sur-Valserine|22123,0|10600,0|45174,8
010330202|Plateau de Musinens|01033|Bellegarde-sur-Valserine|17192,7|9394,5|34866,7
010330301|Arlod|01033|Bellegarde-sur-Valserine|18957,0|10330,3|36090,0
010530101|Centre-Ville|01053|Bourg-en-Bresse|18338,9|9197,0|36316,7
010530102|Champ-de-Foire|01053|Bourg-en-Bresse|19219,0|10274,5|36655,0
010530103|Prefecture|01053|Bourg-en-Bresse|20538,0|10487,0|47254,0
010530201|Citadelle|01053|Bourg-en-Bresse|18994,0|10249,6|34557,9
010530202|Mail|01053|Bourg-en-Bresse|16308,2|8541,3|28979,6
010530203|Peloux|01053|Bourg-en-Bresse|19428,9|10738,5|32623,3
010530301|Gare|01053|Bourg-en-Bresse|22055,5|12163,0|42314,7
010530302|Brou|01053|Bourg-en-Bresse|18968,0|10259,4|34484,0
010530401|Vennes-Ouest|01053|Bourg-en-Bresse|18741,0|9893,8|31926,3
010530402|Vennes-Est|01053|Bourg-en-Bresse|20917,5|12667,7|35527,3
010530501|Baudieres|01053|Bourg-en-Bresse|22307,3|11744,7|40448,0
010530502|Sardieres|01053|Bourg-en-Bresse|20043,3|11113,0|37061,3
010530503|Croix-Blanche|01053|Bourg-en-Bresse|13855,2|8132,9|22283,0
010530601|Pont-des-Chevres|01053|Bourg-en-Bresse|14680,0|8359,3|25652,0
010530602|Reyssouze-Ouest|01053|Bourg-en-Bresse|14248,0|8094,0|23845,3
010530603|Reyssouze-Est|01053|Bourg-en-Bresse|12862,0|8286,8|19821,3
010530604|Cenord-Grand-Challes|01053|Bourg-en-Bresse|20695,5|10861,3|33459,5
010530701|Granges-Bardes-Alagnier|01053|Bourg-en-Bresse|19400,4|10745,3|31791,5
012830102|Zus Centre|01283|Oyonnax|14069,0|8756,8|22068,7
012830103|Zus Nord Est|01283|Oyonnax|14791,9|9154,0|23563,3
012830104|Zus Ouest|01283|Oyonnax|13216,1|8070,0|21103,1
012830201|Ville Sud|01283|Oyonnax|18213,3|9921,0|30958,6
012830202|Ville Est|01283|Oyonnax|17474,5|9562,7|30000,0
012830203|Nierme et Geilles|01283|Oyonnax|15207,4|8973,6|27701,3
012830301|Ville Ouest|01283|Oyonnax|17580,0|9497,4|31386,7
012830303|Ville Nord|01283|Oyonnax|17807,1|9819,4|32184,0
012830304|Exterieur Est|01283|Oyonnax|18974,3|9291,2|32426,0
012830305|Veyziat|01283|Oyonnax|24483,5|15453,0|42234,7
021680101|centre|02168|Château-Thierry|16987,8|8760,0|29624,0
