IRIS|DISP_MED14
140470101|193862
140470102|195927
140470201|163030
140470203|156750
140470301|183770
140470302|222267
140470303|210807
141180101|224410
141180102|211127
141180201|220567
141180202|232390
141180301|223813
141180302|209340
141180303|188673
141180401|265687
141180501|217717
141180502|256875
141180601|226376
141180701|231877
141180702|225439
141180801|207450
141180802|215167
141180803|190620
141180804|222135
141180901|142070
141180902|124867
141180903|213670
141180904|134840
141181001|232728
141181101|248393
141181102|247204
141181202|257467
141181301|157520
141181401|140158
141181402|228300
141181403|139135
141181501|157073
141181502|222210
141181503|216060
141181601|204660
141181701|180010
141181702|186230
141181703|192370
141181704|225767
141181801|117454
141181802|127319
141181901|124869
141181902|213540
141181903|146731
141182002|224513
141182004|153090
141182006|200000
141182007|174123
143270102|204413
143270103|201633
143270201|116869
143270202|191870
143270302|144760
143270401|150780
143270501|152780
143270503|242420
143270601|173104
143270602|145753
143410103|200300
143410104|203640
143410106|203750
143410107|179086
143660101|174700
143660102|175720
143660201|165267
143660202|202200
143660301|171295
143660302|128846
143660303|147020
143660304|164043
143660601|174645
143660701|169422
147620101|200100
147620102|188400
147620103|183993
147620201|168113
147620202|151321
501290101|194323
501290102|174940
501290103|215440
501290201|240395
501290202|178600
501290203|217900
501290301|162843
501290302|166800
501290401|208850
501290402|185533
501290403|150168
501290501|115238
501290502|138883
501290503|122600
501290504|148283
501290601|197092
501290602|211460
501290603|190120
501290604|248148
502180101|188590
502180102|197653
502180103|202348
502180201|210160
502180203|141433
502180204|205550
505020102|161586
505020103|205333
505020201|210310
505020202|194460
505020301|173873
505020302|160526
505020303|196527
610010101|195535
610010102|209220
610010103|176020
610010201|201080
610010202|139513
610010203|169753
610010302|120180
610010304|117339
610010401|178840
610010402|216741
610010403|202267
610060101|152272
610060102|180615
610060103|199881
610060201|199761
610060202|142450
610060203|161613
610060204|181293
611690101|190275
611690102|156806
611690201|187472
611690202|155042
611690203|176152
611690301|188167
611690302|114940
